Datum; Kilometerstand ; Gefahren ; Getankt ; Bezahlt ; Preis ; Verbrauch ; X8
19/01/2013; 20.00    ; 0      ; 47.63    ; 67.11    ; 1.409    ; 0      ;
10/02/2013; 472.00    ; 452.00    ; 39.76    ; 57.61    ; 1.449    ; 8.80    ;
28/03/2013; 989.00    ; 517.00    ; 45.65    ; 65.69    ; 1.439    ; 8.83    ;
30/03/2013; 1,381.00    ; 391.60    ; 30.00    ; 42.27    ; 1.409    ; 7.66    ;
20/04/2013; 1,881.00    ; 500.30    ; 44.19    ; 61.82    ; 1.399    ; 8.83    ;
27/05/2013; 2,442.00    ; 561.00    ; 44.02    ; 58.94    ; 1.339    ; 7.85    ;
04/07/2013; 2,892.00    ; 450.00    ; 38.93    ; 57.74    ; 1.483    ; 8.65    ;
07/07/2013; 3,448.00    ; 556.10    ; 47.20    ; 70.28    ; 1.489    ; 8.49    ;
19/07/2013; 4,060.00    ; 611.80    ; 49.78    ; 69.64    ; 1.399    ; 8.14    ;
04/08/2013; 4,697.00    ; 637.00    ; 50.82    ; 71.10    ; 1.399    ; 7.98    ;
22/09/2013; 5,297.00    ; 600.00    ; 51.18    ; 71.60    ; 1.399    ; 8.53    ;
24/12/2013; 5,700.00    ; 403.00    ; 32.69    ; 47.04    ; 1.439    ; 8.11    ;
26/12/2013; 6,039.00    ; 339.00    ; 30.22    ; 43.18    ; 1.429    ; 8.91    ; 784.02    
16/02/2014; 6,591.00    ; 552.00    ; 45.19    ; 61.41    ; 1.359    ; 8.19    ;
12/04/2014; 7,125.00    ; 514.40    ; 42.18    ; 62.38    ; 1.479    ; 8.20    ;
15/04/2014; 7,724.00    ; 599.00    ; 48.00    ; 69.55    ; 1.449    ; 8.01    ;
26/04/2014; 8,289.00    ; 565.00    ; 44.41    ; 62.13    ; 1.399    ; 7.86    ;
24/05/2014; 8,919.00    ; 630.00    ; 49.12    ; 67.25    ; 1.369    ; 7.80    ;
27/06/2014; 9,456.00    ; 536.60    ; 42.18    ; 59.01    ; 1.399    ; 7.86    ;
01/09/2014; 10,154.00    ; 698.00    ; 56.60    ; 75.22    ; 1.329    ; 8.11    ;
29/10/2014; 10,741.00    ; 587.10    ; 47.00    ; 61.99    ; 1.319    ; 8.01    ;
16/12/2014; 11,357.00    ; 616.00    ; 51.16    ; 59.81    ; 1.169    ; 8.31    ;
21/12/2014; 12,003.00    ; 646.30    ; 50.56    ; 60.63    ; 1.199    ; 7.82    ;
23/12/2014; 12,523.00    ; 520.00    ; 40.37    ; 48.00    ; 1.189    ; 7.76    ;
27/12/2014; 13,001.00    ; 477.70    ; 38.43    ; 49.15    ; 1.279    ; 8.04    ;
30/12/2014; 13,314.00    ; 313.50    ; 27.81    ; 32.51    ; 1.169    ; 8.87    ; 769.04    
21/02/2015; 13,878.00    ; 564.00    ; 47.15    ; 57.00    ; 1.209    ; 8.36    ;
27/03/2015; 14,388.00    ; 510.00    ; 40.53    ; 52.65    ; 1.299    ; 7.95    ;
29/03/2015; 15,060.00    ; 672.00    ; 56.41    ; 66.51    ; 1.179    ; 8.39    ;
24/04/2015; 15,624.00    ; 564.40    ; 44.02    ; 53.22    ; 1.209    ; 7.80    ;
26/04/2015; 15,990.00    ; 365.40    ; 30.28    ; 39.94    ; 1.319    ; 8.29    ;
26/06/2015; 16,405.00    ; 414.80    ; 36.38    ; 44.71    ; 1.229    ; 8.77    ;
28/06/2015; 16,766.00    ; 361.30    ; 27.57    ; 34.16    ; 1.239    ; 7.63    ;
26/09/2015; 17,362.00    ; 596.00    ; 51.06    ; 57.14    ; 1.119    ; 8.57    ;
21/11/2015; 17,754.00    ; 392.00    ; 32.16    ; 36.95    ; 1.149    ; 8.20    ;
23/11/2015; 18,119.00    ; 365.00    ; 29.18    ; 31.19    ; 1.069    ; 7.99    ;
13/12/2015; 18,547.00    ; 428.00    ; 37.04    ; 38.85    ; 1.049    ; 8.65    ;
20/12/2015; 19,006.00    ; 458.50    ; 37.10    ; 40.77    ; 1.099    ; 8.09    ;
13/02/2016; 19,489.00    ; 483.00    ; 44.74    ; 42.91    ; 0.959    ; 9.26    ; 596.00    
20/02/2016; 19,936.00    ; 447.00    ; 34.13    ; 41.60    ; 1.219    ; 7.64    ;
27/02/2016; 20,259.00    ; 323.00    ; 22.83    ; 21.64    ; 0.948    ; 7.07    ;
05/03/2016; 20,918.00    ; 659.00    ; 40.51    ; 40.06    ; 0.989    ; 6.15    ;
15/04/2016; 21,372.00    ; 454.00    ; 43.92    ; 46.52    ; 1.059    ; 9.67    ;
08/05/2016; 21,878.00    ; 506.00    ; 42.46    ; 44.12    ; 1.039    ; 8.39    ;
26/06/2016; 22,500.00    ; 622.00    ; 48.89    ; 54.71    ; 1.119    ; 7.86    ;
06/08/2016; 22,878.00    ; 378.00    ; 33.67    ; 34.65    ; 1.029    ; 8.91    ;
22/09/2016; 23,245.00    ; 417.30    ; 31.31    ; 34.41    ; 1.099    ; 7.50    ;
25/09/2016; 23,833.00    ; 537.70    ; 41.81    ; 45.95    ; 1.099    ; 7.78    ;
16/10/2016; 24,430.00    ; 597.00    ; 48.39    ; 57.05    ; 1.179    ; 8.11    ;
17/12/2016; 25,059.00    ; 629.00    ; 48.24    ; 54.46    ; 1.129    ; 7.67    ; 475.17    
01/04/2017; 25,307.00    ; 247.80    ; 26.16    ; 30.58    ; 1.169    ; 10.56    ;
02/04/2017; 25,673.00    ; 365.90    ; 30.32    ; 35.14    ; 1.159    ; 8.29    ;
27/04/2017; 26,302.00    ; 629.60    ; 51.51    ; 56.09    ; 1.089    ; 8.18    ;
04/06/2017; 26,865.00    ; 563.00    ; 43.43    ; 55.55    ; 1.279    ; 7.71    ;
11/06/2017; 27,248.00    ; 383.00    ; 28.73    ; 31.00    ; 1.079    ; 7.50    ;
18/06/2017; 27,624.00    ; 376.00    ; 29.00    ; 36.22    ; 1.249    ; 7.71    ;
02/07/2017; 28,258.00    ; 634.00    ; 49.01    ; 57.78    ; 1.179    ; 7.73    ;
23/09/2017; 28,789.00    ; 531.00    ; 45.23    ; 51.97    ; 1.149    ; 8.52    ;
21/10/2017; 29,443.00    ; 654.00    ; 52.99    ; 59.30    ; 1.119    ; 8.10    ; 413.63    
02/01/2018; 30,021.00    ; 577.60    ; 50.99    ; 61.14    ; 1.199    ; 8.83    ;
05/01/2018; 30,400.00    ; 379.00    ; 29.70    ; 36.20    ; 1.219    ; 7.84    ;
11/02/2018; 30,988.00    ; 587.70    ; 49.97    ; 57.92    ; 1.159    ; 8.50    ;
16/02/2018; 31,544.00    ; 556.70    ; 46.68    ; 55.97    ; 1.199    ; 8.39    ;
29/03/2018; 32,104.00    ; 560.00    ; 46.24    ; 53.39    ; 1.155    ; 8.26    ;
02/04/2018; 32,499.00    ; 394.40    ; 32.44    ; 41.17    ; 1.269    ; 8.23    ;
22/04/2018; 33,167.00    ; 668.00    ; 53.73    ; 65.50    ; 1.219    ; 8.04    ;
12/06/2018; 33,725.00    ; 558.00    ; 45.31    ; 57.50    ; 1.269    ; 8.12    ;
07/07/2018; 34,356.00    ; 631.00    ; 50.85    ; 64.02    ; 1.259    ; 8.06    ;
29/07/2018; 34,887.00    ; 531.00    ; 43.61    ; 54.47    ; 1.249    ; 8.21    ;
27/10/2018; 35,422.00    ; 535.00    ; 43.50    ; 63.90    ; 1.469    ; 8.13    ; 611.18    
24/02/2019; 35,980.00    ; 558.00    ; 47.88    ; 58.84    ; 1.229    ; 8.58    ;
30/03/2019; 36,563.60    ; 583.60    ; 46.85    ; 57.11    ; 1.219    ; 8.03    ;
21/04/2019; 37,183.00    ; 619.40    ; 50.95    ; 68.22    ; 1.339    ; 8.23    ;
30/05/2019; 37,586.00    ; 403.00    ; 32.16    ; 41.78    ; 1.299    ; 7.98    ;
08/06/2019; 38,211.00    ; 625.00    ; 43.93    ; 55.75    ; 1.269    ; 7.03    ;
27/07/2019; 38,737.90    ; 526.90    ; 43.32    ; 52.81    ; 1.219    ; 8.22    ;
21/09/2019; 39,205.00    ; 467.10    ; 38.39    ; 48.33    ; 1.259    ; 8.22    ;
22/09/2019; 39,707.00    ; 501.30    ; 25.02    ; 40.01    ; 1.599    ; 4.99    ;
28/09/2019; 40,025.00    ; 317.90    ; 36.91    ; 46.40    ; 1.257    ; 11.61    ;
05/10/2019; 40,743.00    ; 718.90    ; 50.67    ; 60.25    ; 1.189    ; 7.05    ;
22/12/2019; 41,210.00    ; 467.00    ; 37.32    ; 46.61    ; 1.249    ; 7.99    ; 576.11    
27/01/2020; 41,610.00    ; 400.00    ;; 45.72    ;;;
14/03/2020; 42,011.00    ; 401.00    ; 31.44    ; 36.44    ; 1.159    ; 7.84    ;
11/04/2020; 42,507.00    ; 496.00    ; 42.41    ; 43.64    ; 1.029    ; 8.55    ;
24/05/2020; 43,125.00    ; 618.00    ; 50.31    ; 50.26    ; 0.999    ; 8.14    ;
26/06/2020; 43,750.00    ; 625.00    ; 51.94    ; 55.00    ; 1.059    ; 8.31    ;
12/07/2020; 44,376.00    ; 626.00    ; 55.10    ; 61.11    ; 1.109    ; 8.80    ;
06/08/2020; 44,966.00    ; 590.00    ; 43.40    ; 60.72    ; 1.399    ; 7.36    ;
05/09/2020; 45,522.00    ; 556.00    ; 41.53    ; 40.24    ; 0.969    ; 7.47    ;
30/09/2020; 46,165.00    ; 643.00    ; 49.90    ; 53.34    ; 1.069    ; 7.76    ;
04/10/2020; 46,668.00    ; 503.00    ; 38.20    ; 42.36    ; 1.109    ; 7.59    ;
10/10/2020; 47,272.00    ; 603.80    ; 50.27    ; 51.23    ; 1.019    ; 8.33    ;
07/11/2020; 47,654.00    ; 382.00    ; 31.59    ; 31.24    ; 0.989    ; 8.27    ;
29/12/2020; 48,143.00    ; 489.00    ; 40.82    ; 44.45    ; 1.089    ; 8.35    ; 615.75    
20/03/2021; 48,804.00    ; 661.20    ; 53.41    ; 70.98    ; 1.329    ; 8.08    ;
04/04/2021; 49,262.00    ; 458.00    ; 39.90    ; 51.83    ; 1.299    ; 8.71    ;
